packet_id,packet_type,source_gui,dest_gui,path,hop_count,started_at,delivered_at,delay
23453,SENSOR_DATA,10,1,10->0->1,2,2762.081586,2762.081765,0.000179
23459,SENSOR_DATA,33,1,33->32->22->11->1,4,2762.598748,2762.599067,0.000319
23462,SENSOR_DATA,23,1,23->22->11->1,3,2762.787308,2762.787542,0.000234
23483,SENSOR_DATA,0,1,0->1,1,2764.741474,2764.741564,0.000090
23500,SENSOR_DATA,32,1,32->22->11->1,3,2766.965071,2766.965310,0.000239
23502,SENSOR_DATA,11,1,11->1,1,2766.999538,2766.999617,0.000079
23511,SENSOR_DATA,2,1,2->1,1,2767.907825,2767.907891,0.000066
23510,SENSOR_DATA,12,1,12->11->1,2,2767.907773,2767.907899,0.000125
23519,SENSOR_DATA,3,1,3->2->1,2,2768.527649,2768.527781,0.000132
23520,SENSOR_DATA,22,1,22->11->1,2,2768.607701,2768.607863,0.000162
